あの速くて正確で信頼できる配達員が好きだ。;あのはやくてせいかくでしんらいできるはいたついんがすきだ。;J’aime ce livreur rapide, précis et fiable.;速い はやい rapide 正確 せいかく précis 信頼できる しんらいできる fiable
この古くて貴重で美しい絵を買った。;このふるくてきちょうでうつくしいえをかった。;J’ai acheté ce vieux, précieux et beau tableau.;古い ふるい vieux 貴重 きちょう précieux 美しい うつくしい beau
彼は勇敢で誠実で優しい友達だ。;かれはゆうかんでせいじつでやさしいともだちだ。;C’est un ami courageux, honnête et gentil.;勇敢 ゆうかん courageux 誠実 せいじつ honnête 優しい やさしい gentil
彼は背が高くて、強くて、優しい人です。;かれは せが たかくて、つよくて、やさしい ひとです。;Il est grand, fort et gentil.;高い たかい grand 強い つよい fort 優しい やさしい gentil
このケーキは甘くて、柔らかくて、おいしいです。;このケーキは あまくて、やわらかくて、おいしいです。;Ce gâteau est sucré, moelleux et délicieux.;甘い あまい sucré 柔らかい やわらかい moelleux 美味しい おいしい délicieux
あの町は静かで、きれいで、安全です。;あの まちは しずかで、きれいで、あんぜんです。;Cette ville est calme, belle et sûre.;静か しずか calme 綺麗 きれい belle 安全 あんぜん sûre
今日は暑くて、長くて、疲れる日でした。;きょうは あつくて、ながくて、つかれる ひでした。;Aujourd’hui était une journée chaude, longue et fatigante.;暑い あつい chaude 長い ながい longue 疲れる つかれる fatigante
彼女は明るくて、元気で、親切です。;かのじょは あかるくて、げんきで、しんせつです。;Elle est joyeuse, énergique et gentille.;明るい あかるい joyeuse 元気 げんき énergique 親切 しんせつ gentille
この映画は短くて、面白くて、感動的です。;この えいがは みじかくて、おもしろくて、かんどうてきです。;Ce film est court, intéressant et émouvant.;短い みじかい court 面白い おもしろい intéressant 感動的 かんどうてき émouvant
その犬は小さくて、白くて、かわいいです。;その いぬは ちいさくて、しろくて、かわいいです。;Ce chien est petit, blanc et mignon.;小さい ちいさい petit 白い しろい blanc 可愛い かわいい mignon
日本の春は暖かくて、静かで、美しいです。;にほんの はるは あたたかくて、しずかで、うつくしいです。;Le printemps au Japon est doux, calme et beau.;暖かい あたたかい doux 静か しずか calme 美しい うつくしい beau
彼の部屋は広くて、明るくて、きれいです。;かれの へやは ひろくて、あかるくて、きれいです。;Sa chambre est grande, lumineuse et propre.;広い ひろい grande 明るい あかるい lumineuse 綺麗 きれい propre
この仕事は難しくて、忙しくて、大変です。;この しごとは むずかしくて、いそがしくて、たいへんです。;Ce travail est difficile, prenant et pénible.;難しい むずかしい difficile 忙しい いそがしい prenant 大変 たいへん pénible
あの先生は厳しくて、真面目で、有名です。;あの せんせいは きびしくて、まじめで、ゆうめいです。;Ce professeur est strict, sérieux et célèbre.;厳しい きびしい strict 真面目 まじめ sérieux 有名 ゆうめい célèbre
このカフェは安くて、静かで、便利です。;この カフェは やすくて、しずかで、べんりです。;Ce café est bon marché, calme et pratique.;安い やすい bon marché 静か しずか calme 便利 べんり pratique
彼は若くて、背が高くて、ハンサムです。;かれは わかくて、せが たかくて、ハンサムです。;Il est jeune, grand et beau.;若い わかい jeune 高い たかい grand ハンサム はんさむ beau
その話は長くて、難しくて、退屈でした。;その はなしは ながくて、むずかしくて、たいくつでした。;Cette histoire était longue, difficile et ennuyeuse.;長い ながい longue 難しい むずかしい difficile 退屈 たいくつ ennuyeuse
今日は寒くて、暗くて、嫌な日です。;きょうは さむくて、くらくて、いやな ひです。;Aujourd’hui est une journée froide, sombre et désagréable.;寒い さむい froide 暗い くらい sombre 嫌な いやな désagréable
この町は古くて、小さくて、静かです。;この まちは ふるくて、ちいさくて、しずかです。;Cette ville est ancienne, petite et calme.;古い ふるい ancienne 小さい ちいさい petite 静か しずか calme
彼女の声は高くて、きれいで、心地いいです。;かのじょの こえは たかくて、きれいで、ここちいいです。;Sa voix est aiguë, belle et agréable.;高い たかい aiguë 綺麗 きれい belle 心地いい ここちいい agréable
その問題は簡単で、短くて、分かりやすいです。;その もんだいは かんたんで、みじかくて、わかりやすいです。;Ce problème est simple, court et facile à comprendre.;簡単 かんたん simple 短い みじかい court 分かりやすい わかりやすい facile
彼の考えは新しくて、面白くて、重要です。;かれの かんがえは あたらしくて、おもしろくて、じゅうようです。;Son idée est nouvelle, intéressante et importante.;新しい あたらしい nouvelle 面白い おもしろい intéressante 重要 じゅうよう importante
この旅は楽しくて、長くて、思い出深いです。;この たびは たのしくて、ながくて、おもいでぶかいです。;Ce voyage est agréable, long et mémorable.;楽しい たのしい agréable 長い ながい long 思い出深い おもいでぶかい mémorable
